label,token_count,byte_count,loss_sum,token_fraction,val_loss,val_bpb,doc_count
0-1024,16485733,62102086.0,46917424.10556301,0.40714759349178625,2.845941039173873,1.089939798292445,39393
1025-2048,10350398,39198962.0,29046811.515697382,0.2556234313258742,2.806347303330498,1.069051035773168,7425
2049-4096,6259778,23317522.0,17464766.252357524,0.1545975267519392,2.7899977047680484,1.0805750140414203,2257
4097-8192,3708598,13428396.0,10234035.206002153,0.0915911200871961,2.7595428800862627,1.0995052454501915,674
8193+,3686296,13033925.0,9849965.072497943,0.09104032834320426,2.6720494155916787,1.0902698736583403,251
