label,token_count,token_fraction_within_group,val_loss,val_bpb,loss_sum,byte_count
257-512,236800,0.042831324168008764,2.807822677016535,1.1108168247898902,664892.4099175155,863542.0
513-1024,473600,0.08566264833601753,2.8078034203935696,1.1046854405058821,1329775.6998983945,1736658.0
1025-2048,947200,0.17132529667203505,2.759976229849576,1.0835833880975545,2614249.484913518,3480641.0
2049-4096,1894400,0.3426505933440701,2.716457548897844,1.0780334664764675,5146057.180632076,6886791.0
4097-8192,1976664,0.35753013747986856,2.6719742247885367,1.0781426722042342,5281595.259067408,7067461.0
8193+,0,0.0,nan,nan,0.0,0.0
