label,token_count,token_fraction_within_group,val_loss,val_bpb,loss_sum,byte_count
257-512,814592,0.07264770857369994,2.8300034141381873,1.095605575130714,2305298.1411296544,3035620.0
513-1024,1629184,0.14529541714739988,2.809823216526091,1.0844398097531427,4577719.027192843,6090013.0
1025-2048,3258368,0.29059083429479976,2.7605873703052333,1.0712086700522057,8995009.548606722,12114405.0
2049-4096,3534099,0.31518133522377384,2.7087405075533444,1.0702619989167415,9572957.119003767,12904184.0
4097+,1976664,0.17628470476032665,2.6586233399960264,1.072755584831553,5255205.045729905,7067461.0
